Timestamp,Transcript
[00:12:25]:,"Highlighting ""Galleria Hotel in Soncino"""
[00:12:41]:,"Highlighting ""Milan Italy"""
[00:12:48]:,Still reading the document
[00:12:45]:,"Highlighting ""Room 341"""
[00:12:53]:,"Highlighting ""Minsky was reportedly shot to death"""
[00:13:28]:,"Highlighting ""$500000 worth of uncut diamonds"""
[00:13:39]:,Still reading the document
[00:14:10]:,Still reading the document
[00:14:16]:,"Highlighting ""dealings in oil timber and consumer goods; maps of the Kenya-Sudan border"""
[00:14:55]:,Looking through titles
[00:15:05]:,"""Here is Minsky again, Let's look at that"""
[00:15:08]:,Picking a document from last search
[00:15:25]:,Making connection between two documents
[00:15:50]:,"""This one is more about arms deals"""
[00:15:52]:,"Highlighting ""police found evidence of several proposed and realized arms deals"""
[00:16:34]:,"Searching for ""Minsky"""
[00:16:43]:,Picking a document from last search
[00:17:15]:,"""I've not seens anything related to the disease yet"""
[00:17:26]:,User changed the topic: (Looking for evidence of health issues) [bottom-up]
[00:17:26]:,"Searching for ""Ill"""
[00:17:54]:,"Searching for ""Sick"""
[00:18:04]:,Picking a document from last search
[00:18:23]:,"Highlighting ""meeting on 15 April"""
[00:18:27]:,"Highlighting ""transaction"""
[00:18:32]:,"Highlighting ""Dr, George"""
[00:18:42]:,"Highlighting ""Mikhail Dombrovski"""
[00:18:52]:,"Highlighting ""minor local health"""
[00:19:15]:,"Searching for ""Health"""
[00:19:31]:,Looking at the dates of articles
[00:19:37]:,Picking a document from last search
[00:19:54]:,"""I'm thinking here it might be related to disease"", Highlighting ""Lack of safe water nutrition and hygiene is exerting a heavy toll on their health"""
[00:20:34]:,"Highlighting ""Fighting in northern Yemen has moved into Saudi Arabi"""
[00:20:47]:,Picking a document from last search
[00:20:58]:,"""Ok, here is Dr, George again"""
[00:21:05]:,"Highlighting ""DR, GEORGE"""
[00:21:16]:,"Highlighting ""NIGERIA"""
[00:22:17]:,"Highlighting ""WR-PH STANDS FOR WATER RESOURCES AND PUBLIC HEALTH"""
[00:22:53]:,"Highlighting ""CONTRACT AWARDED IN THE YEAR 1998"""
[00:23:12]:,Making connection between two documents
[00:23:30]:,Picking a document from last search
[00:23:30]:,Highlighting some numbers
[00:23:45]:,"Highlighting ""Mikhail Dombrovski"""
[00:23:49]:,"Highlighting ""Nigeria"""
[00:24:33]:,"Highlighting ""Dubai, May we agree to meet there?"""
[00:24:42]:,"""They are meeting in Dubai"""
[00:24:47]:,Making connection between two documents
[00:25:19]:,"""Hear I found some Nigeria documents which is good and one later one talking about local health"""
[00:26:06]:,User changed the topic: (What's going on in Duabai) [bottom-up]
[00:26:06]:,"""There're having a meeting at Dubai"", Searching for ""Dubai"""
[00:26:09]:,Looking through titles
[00:26:26]:,Picking a document from last search
[00:26:46]:,Picking a document from last search
[00:27:31]:,Picking a document from last search
[00:28:03]:,"""There is some sort of meeting, Major meeting of arm dealers in Dubai"""
[00:28:15]:,Still reading the document
[00:28:45]:,"Highlighting ""Dubai"""
[00:28:58]:,"Highlighting ""Muhammad Kasem"""
[00:29:12]:,"Highlighting ""Abdullah Khouri"""
[00:29:27]:,"Highlighting ""provide supplies """
[00:29:44]:,Making connection between two documents
[00:29:49]:,"Writing a new note about Dubai: ""Dubai"""
[00:30:06]:,"""I'm think maybe Dubai is sort of centeral location for a lot of these event"""
[00:31:01]:,Picking a document from last search
[00:31:16]:,"Highlighting ""seller in Dubai"""
[00:31:31]:,"Highlighting ""Farm equipments"""
[00:31:47]:,Making connection between two documents in Dubai topic
[00:32:27]:,"Highlighting ""Dubai"""
[00:32:34]:,"""This guys seeems strongly connected to Dubai"", Highlighting ""Nicolai"""
[00:33:03]:,"Highlighting ""identified as Saleh Ahmed"""
[00:33:15]:,"Highlighting ""Sana"""
[00:33:23]:,Making connection between two documents about farming equipments
[00:34:15]:,Picking a document from last search
[00:34:19]:,"""I'm tring to find the connection between people in this list whom all met in Dubai"""
[00:35:47]:,"Searching for ""Water resources"""
[00:35:55]:,"Searching for ""public health"""
[00:36:10]:,"Searching for ""Local Health"""
[00:36:37]:,"""Oh wait, Probably a normal disease that's spreading through the airplane which goes all between countries, So if I can connect them all to Dubai it's possible that local health issues in Nigeria is spread everwhere"""
[00:37:03]:,"""So, Dubai is still critical"""
[00:37:04]:,"Searching for ""Dubai"""
[00:37:04]:,"User changed the topic: (How disease got to Dubai, looking for events) [bottom-up]"
[00:37:13]:,Picking a document from last search
[00:37:29]:,"Highlighting ""Maulana Haq Bukhari"""
[00:37:38]:,"Highlighting ""Karachi faction of Lashkar-e-Jhangvi"""
[00:38:03]:,"""This one might be about diamonds"""
[00:38:03]:,Picking a document from last search
[00:38:13]:,"Highlighting ""Tanya's jewels"""
[00:38:33]:,"Highlighting ""Nicolai expects you in Dubai on the 17th"""
[00:39:18]:,"Highlighting ""Nairobi Kenya"""
[00:39:43]:,Picking a document from last search
[00:39:51]:,"Highlighting ""Dubai"""
[00:39:58]:,"""Again Dubai and again Nicolai's name"""
[00:39:59]:,"Highlighting ""Nicolai"""
[00:40:07]:,"Highlighting ""Kiev to Tabriz Iran"""
[00:41:01]:,Picking a document from last search
[00:41:06]:,"Highlighting ""exhibition scheduled in Dubai for April 17"""
[00:41:48]:,"Highlighting ""Boonmee Khemkhaengon"""
[00:42:36]:,"Highlighting ""arms exhibition scheduled in Dubai for April 17 2009"""
[00:42:52]:,Picking a document from Dubai search
[00:43:01]:,"Highlighting ""Akram Basra"""
[00:43:27]:,"Highlighting ""arachi faction"""
[00:43:42]:,"Searching for ""Karachi"""
[00:44:03]:,Making connection between two documents about Karachi
[00:44:36]:,User changed the topic: (Tracking all names of people in the Dubai meeting) [bottom-up]
[00:44:22]:,"""I'm trying to track names to Dubai"""
[00:44:36]:,"Searching for ""Lashkar"""
[00:44:38]:,"""It's important because Nicolai's arms dealing is happening there on the same day which could spread the disease"""
[00:45:10]:,Picking a document from last search
[00:45:14]:,"Highlighting ""Maulana Haq Bukhari"""
[00:45:37]:,"Highlighting ""Akram Basra"""
[00:45:56]:,"Highlighting ""BMW"""
[00:46:19]:,"Highlighting ""Muhammad Balochi Ullah ali Jinnah Mai"""
[00:46:47]:,"Highlighting ""Korongi Road Mosque"""
[00:47:49]:,Grouping some documents
[00:47:57]:,"""Ok, Lets look at the names I found"""
[00:48:00]:,"Searching for ""muhammad"""
[00:48:10]:,"Searching for ""balochi"""
[00:48:20]:,"Searching for ""ullah ali jinnah"""
[00:48:26]:,"Searching for ""Mai"""
[00:49:51]:,"Searching for ""Korongi"""
[00:49:57]:,Picking a document from last search
[00:49:57]:,"Highlighting ""Korongi Road Mosque"""
[00:50:12]:,"Highlighting ""Mudassar Nausherwani"""
[00:50:54]:,"Highlighting ""three unknown men entered the same building"""
[00:51:03]:,"Highlighting ""meeting with Bhutani and Ullah"""
[00:51:24]:,"Highlighting ""Cafe Zuk"""
[00:51:29]:,"Highlighting ""Khayaban-e-Shamsheer in downtown Karachi"""
[00:51:57]:,Making connection between two documents
[00:52:14]:,Arranging documents
[00:52:35]:,"Searching for ""Cafe Zuk"""
[00:52:44]:,"Searching for ""Karachi"""
[00:53:04]:,Picking a document from last search
[00:53:23]:,Still reading the document
[00:53:38]:,"Highlighting ""Lyari Town"""
[00:53:47]:,"Highlighting ""Karachi faction of Lashkar-e-Jhangvi"""
[00:54:14]:,Still reading the document
[00:54:29]:,"""I'm reading about Karachi because there wes a cafe there as a meeting place, but this article doesn't involve the meeting place it invoolves the same faction"""
[00:54:59]:,Still reading the document
[00:55:10]:,"Highlighting ""three occupants"""
[00:55:37]:,"""It's definately a Pakistan thing,"""
[00:55:49]:,"Searching for ""Dubai"""
[00:55:56]:,Picking a document from last search
[00:55:57]:,Highlighting a web address
[00:56:54]:,Reading the prompt again
[00:57:32]:,looking at old documetns
[00:58:18]:,"Searching for ""Wanjohi Onyango"""
[00:58:17]:,Picking a document from last search
[00:58:22]:,"""same people"""
[01:00:07]:,User changed the topic: (Connecting people from Kenya to Dubai) [bottom-up]
[00:59:47]:,"""I'm trying to connect Kenya to Dubai where is one of the meeting places"""
[01:00:07]:,"Searching for ""Michieka"""
[01:00:07]:,"Searching for ""Otieno"""
[01:00:15]:,Picking a document from last search
[01:00:57]:,Picking a document from last search
[01:01:07]:,Picking a document from last search
[01:01:31]:,"Highlighting ""deaths of Thabiti Otieno and Nahid Owiti """
[01:02:05]:,Making connection between two documents
[01:02:33]:,"Searching for ""Nahid Owiti"""
[01:02:51]:,"Searching for ""Wanjiku"""
[01:02:57]:,"Searching for ""Kaniaru"""
[01:03:01]:,"Searching for ""Ngendo"""
[01:03:10]:,"Searching for ""Kariuki"""
[01:03:17]:,"Searching for ""Njeri"""
[01:03:19]:,"Searching for ""Muiruri"""
[01:03:24]:,"Searching for ""Nyambura"""
[01:03:31]:,"Searching for ""Ndungu"""
[01:03:46]:,"Searching for ""Michieka"""
[01:03:52]:,Picking a document from last search
[01:04:00]:,Picking a document from last search
[01:04:14]:,Looking through titles
[01:04:56]:,"Searching for ""Tanya"""
[01:05:01]:,Picking a document from last search
[01:05:44]:,Picking a document from last search
[01:06:10]:,Picking a document from last search
[01:06:12]:,Picking a document from last search
[01:06:26]:,"""A lot of articles but no info"""
[01:07:05]:,Still reading the document
[01:07:16]:,"Highlighting ""Kenyan port of Mombasa"""
[01:07:27]:,Picking a document from last search
[01:07:33]:,"Highlighting ""Kenyan port city of Mombasa"""
[01:07:40]:,"Highlighting ""arms were destined for Sudan"""
[01:08:27]:,"""It's not like all happend in Dubai, There are other small thing I found in Yemen or Saudi Arabia"""
[01:09:18]:,Making connection between two documents
[01:09:28]:,"""So Kenya is actually connected to Dubai"""
[01:10:02]:,User changed the topic: (Who is Nicolai) [bottom-up]
[01:10:02]:,"Searching for ""Nicolai"""
[01:10:10]:,Picking a document from last search
[01:10:13]:,"Highlighting ""Nicolai Kuryakin"""
[01:10:43]:,"Searching for ""boonmee"""
[01:10:56]:,Picking a document from last search
[01:11:07]:,Making connection between two documents
[01:11:18]:,Picking a document from last search
[01:11:24]:,"""Here it's a connection between Nicolai to Borodinski"""
[01:11:23]:,"Highlighting ""Borodinski"""
[01:12:11]:,Picking a document from last search
[01:13:03]:,"""I think I've seen this name before"""
[01:13:05]:,"Searching for ""Borodinski"""
[01:13:13]:,Picking a document from last search
[01:13:17]:,"""They're shipping to Ukrane the same as the other one"""
[01:13:45]:,"Searching for ""Nicolai"""
[01:14:04]:,Picking a document from last search
[01:14:10]:,"""Again Boonmee"""
[01:14:31]:,Picking a document from last search
[01:14:46]:,"""Usually people talking about Nicolai"""
[01:15:12]:,"Highlighting ""Lim Chanarong December"""
[01:15:18]:,"Highlighting ""Gunter"""
[01:15:36]:,Picking a document from last search
[01:15:46]:,"Highlighting ""Lim Chanarong"""
[01:15:59]:,"Highlighting ""Nonthaburi to Bangkok"""
[01:16:24]:,Making connection between two documents
[01:16:23]:,"""What about other countries?"""
[01:17:04]:,User changed the topic: (Looking at other countries and connections between them) [bottom-up]
[01:17:04]:,"Searching for ""Venezuela"""
[01:17:09]:,Picking a document from last search
[01:17:21]:,"Highlighting ""Barcelona"""
[01:17:26]:,"Highlighting ""Green man"""
[01:17:39]:,"Highlighting ""Beto"""
[01:17:49]:,"Highlighting ""Bolivar"""
[01:18:08]:,Picking a document from last search
[01:18:11]:,Picking a document from last search
[01:18:24]:,Picking a document from last search
[01:18:33]:,"Highlighting ""Pillo Jhon"""
[01:18:44]:,"""I got a name that conneeccts Columbia to Venezuela"""
[01:18:54]:,"Highlighting ""Medell Colombia"""
[01:19:08]:,Making connection between two documents
[01:19:48]:,"Searching for ""Columbia"""
[01:20:02]:,"""So this one connects Yemen to Columbia"""
[01:20:10]:,"Highlighting ""Yemen"""
[01:20:30]:,"Searching for ""Yemen"""
[01:20:33]:,Picking a document from last search
[01:20:46]:,"Highlighting ""100 carats of diamonds were shipped from Yemen to Moscow """
[01:21:00]:,Picking a document from last search
[01:21:16]:,"Highlighting "" Mohammed Mohammed"""
[01:21:24]:,"""A lot of thing seems to be either direct or indirect related to Nicolai and whatever sort of ,,, he has some large organizations with a few wbig names like boonmee seems to deal with them alot and actually talk on behalf,"""
[01:22:05]:,"""Yemen ties to both Columbia and Venezuela and also to Saudi Arabia, So Yemen is source for a lot of places as well, So I'm trying to figure out how they got the disease from, They're dealing with Russia too but it's more complecated"""
[01:22:39]:,Picking a document from last search
[01:23:02]:,Still reading the document
[01:23:08]:,"Highlighting ""Suq al Talh in Saada province"""
[01:23:28]:,Picking a document from last search
[01:23:57]:,"""Ok, nothing important here"""
[01:23:57]:,Picking a document from last search
[01:24:12]:,"""That guy is dieing but"""
[01:24:18]:,"Highlighting ""Aden General Hospita"""
[01:24:34]:,Picking a document from last search
[01:24:40]:,"""What's this internet cafe?"""
[01:24:43]:,"Highlighting ""Internet Cafe in Moscow"""
[01:24:52]:,"Highlighting ""Yemen"""
[01:25:02]:,"""and here this guy again"""
[01:25:10]:,"Highlighting ""Mikhail Dombrovski"""
[01:25:16]:,"Searching for ""Dombrovski"""
[01:25:19]:,Picking a document from last search
[01:25:22]:,"""Yeah that ties Yemen to Dombrovski who's from Nigeria directly"""
[01:25:31]:,"""So that marks off Kenya, Yemen, Saudii Arabia"""
[01:26:13]:,"Searching for ""Pakistan"""
[01:26:38]:,Picking a document from last search
[01:26:43]:,Picking a document from last search
[01:26:45]:,"""Some bank info here"""
[01:27:01]:,Picking a document from last search
[01:27:10]:,Picking a document from last search
[01:27:31]:,Picking a document from last search
[01:27:31]:,"""No I don't see this"""
[01:27:48]:,Looking through titlesand highlights
[01:28:13]:,Making connection between two documents
[01:28:28]:,"""So we have Pakistan, Yemen, and Saudi Arabia, Columbia Kenya"""
[01:29:15]:,"""Let's look for Syria"""
[01:29:20]:,"Searching for ""Sryia"""
[01:29:22]:,Picking a document from last search
[01:29:34]:,"Searching for ""Baltasar"""
[01:29:42]:,"""Ok not this one"""
[01:29:44]:,"Searching for ""Syria"""
[01:29:47]:,Picking a document from last search
[01:29:52]:,"""This is all textbooks"""
[01:29:58]:,Picking a document from last search
[01:30:12]:,"""So here it's about Turkey but Turkey is not on the list"""
[01:30:34]:,"Highlighting ""Turkey"""
[01:30:46]:,Picking a document from last search
[01:30:50]:,"""Again that's professor"""
[01:31:00]:,Making connection between two documents
[01:31:14]:,Picking a document from last search
[01:31:20]:,"""Syria is here"""
