Timestamp,Transcript
[00:29:14]:,Still reading the document
[00:29:36]:,Still reading the document
[00:30:02]:,"""The only relation I see here is that I see certain people who have done bombings. But they're not related to one another. These last two actually happend in US and other one was in Pakistan. I keep reading"""
[00:30:32]:,"Writing a new note: ""Unibomber Info."""
[00:30:41]:,Making connection between note and last document
[00:30:53]:,"Picking a document in title ""May 2011 Explosives Traces Are Said To Be Found in Antarctica Airlines"""
[00:30:50]:,User changed the topic: (Looking for dreads and attacks related to airlines) [bottom-up]
[00:31:20]:,Still reading the document
[00:31:50]:,Still reading the document
[00:32:15]:,Still reading the document
[00:32:36]:,Still reading the document
[00:33:03]:,Still reading the document
[00:33:36]:,"Writing a new note: ""Air port bombings"""
[00:33:36]:,Making connection between note and documents
[00:33:38]:,"""It's an airport bombing. The places could be the connection. for this article they talk about an airplane getting blown up and they mentioned two other ones. but for the Pakistan the bomb didn't get to the plane yet."""
[00:34:32]:,"Writing a new note: ""Non airport bombings"""
[00:34:42]:,Making connection between note and documents
[00:35:00]:,"Picking a document in title ""May 2011 Alleged Trade Center Bomber Convicted of Plotting Air"""
[00:35:52]:,Still reading the document
[00:36:26]:,Still reading the document
[00:37:17]:,Still reading the document
[00:37:53]:,Still reading the document
[00:38:21]:,Still reading the document
[00:38:47]:,Still reading the document
[00:39:03]:,"Highlighting ""he commercial jets targeted for destruction were owned by companies such as Delta Air Lines Northwest Air Lines and UAL Corp.'s United Airlines unit"""
[00:39:43]:,"""I think he had some cconnections with bombing. Oh no. this arrest happend after bombing so people were say that . This guy also has connection to a seperate bombing that happend were he killed some Japanese men and the stuff he bought was same as what he used to make the bomb."""
[00:40:33]:,Making connection between a note and document
[00:40:41]:,"Picking a document in title "" April 2011 South Korean Police Siege on University Students Continues """
[00:40:47]:,"Picking a document in title ""May 2011 Theater Shields Nurse"""
[00:41:05]:,Still reading the document
[00:41:12]:,"Picking a document in title ""April 2011 Investigators Question Passengers On Previous Leg of Antarctica Airlines Flight"""
[00:41:35]:,Still reading the document
[00:42:10]:,Still reading the document
[00:42:32]:,Still reading the document
[00:43:07]:,Still reading the document
[00:43:37]:,Still reading the document
[00:44:03]:,Still reading the document
[00:44:34]:,Making connection between two documents
[00:44:27]:,"""It also talked about plane crash in more detail and it mentione some man who says he lost his keys on there but they cann't find it"""
[00:45:02]:,Highlighting a paragraph about the man who lost his key
[00:45:10]:,"Picking a document in title ""April 2011 Saudi Group Claims 6 Militants Confessed to U.S. Base Bombing"""
[00:45:05]:,User changed the topic: (Looking for terrorist activities in other place) [bottom-up]
[00:45:33]:,Still reading the document
[00:46:05]:,Still reading the document
[00:46:48]:,Still reading the document
[00:47:01]:,Making connection between the document and a note 5
[00:47:08]:,"Picking a document in title ""April 2011 South Korean Police Siege on University Students Continues"""
[00:47:29]:,Still reading the document
[00:47:52]:,Still reading the document
[00:47:57]:,"Picking a document in title ""May 2011 DHS Foils Plot"""
[00:48:07]:,Making connection between document and note 5
[00:48:10]:,"Picking a document in title ""May 2011 Shula Expects a Difficult Sunday As Dolphins Play Without Him"""
[00:48:22]:,"Picking a document in title ""May 2011 Suspicious Turkey Found with Man at Airport"""
[00:48:53]:,Still reading the document
[00:49:22]:,"""This guy tried to enter a suspicoius turkey into the airplane. I dont think it has anything to do with what I'm looking for"""
[00:49:39]:,Looking through titles
[00:49:41]:,"""I think I'm going to search for this network of dread"""
[00:50:02]:,User changed the topic: (Looking for Network of Dread) [bottom-up]
[00:50:06]:,"Searching for ""DHS"""
[00:50:12]:,"""No results"""
[00:50:19]:,"Searching for ""Network of Dread"""
[00:50:43]:,"Picking a document in title ""April 2011 Hong Kong Officials to Consider Complying with China Sanctions"""
[00:51:24]:,"Picking a document in title ""May 2011 U.S. Antiterrorism Effort Is Flawed as Threat Grows"""
[00:51:28]:,"Picking a document in title ""May 2011 Union Cites Report in Amendment To ValuJet Safety Record Charge"""
[00:51:36]:,"Picking a document in title ""Aprill 2011 FUND TRACK `Funds of Funds' to Make Strong Comeback in Billie"""
[00:51:44]:,"Picking a document in title ""May 2011 Over Your Head in Debt? Bankruptcy Offers New Start"""
[00:51:48]:,"Picking a document in title ""March 2011 Senate Votes to Establish Commission on Gambling"""
[00:51:53]:,"Picking a document in title ""May 2011 Economy Rises Bohannon Codi But Hurting Financial Markets"""
[00:52:00]:,"Picking a document in title ""May 2011 Missile-Defense Plans Divide Codi and Dinger Stocks"""
[00:52:06]:,"""I searched for Washington but most of the stuff that pops up are like policy things. don't have anything to do with my problem"""
[00:52:31]:,"Picking a document in title ""March 2011 Peter Will Move U.S. Troops In Middle East to Secure Areas"""
[00:52:37]:,"Picking a document in title ""March 2011 U.S. Plans to Seek Indictments Of 2 ADM Execs in"""
[00:52:51]:,Looking at an old document about DHS foils plot
[00:52:52]:,"Searching for ""Bruno Eggleston"""
[00:53:14]:,Looking through old documents and highlights
[00:52:50]:,User changed the topic: (Looking for new information about terrorist activity) [bottom-up]
[00:53:26]:,"Searching for ""Vastopolis Center"""
[00:53:37]:,"Searching for ""Smogtown"""
[00:53:43]:,"Picking a document in title ""May 2011 Explosions at Smogtown Chemical Plant"""
[00:53:58]:,"""I'm searching for a town that I've already connected to one of my notes"""
[00:54:11]:,"""This ine has name in it"""
[00:54:28]:,"Searhing for ""Brooks Rupe"""
[00:54:37]:,"Searching for ""destabilizemost"""
[00:54:42]:,"Searching for ""destabilize"""
[00:55:02]:,"Searching for ""Antarctica Airlines Flight"""
[00:55:13]:,"Picking a document in title ""May 2011 U.S. Antiterrorism Effort Is Flawed as Threat Grows"""
[00:55:20]:,"Searching for ""terrorist attack"""
[00:55:26]:,"Searching for ""target"""
[00:55:37]:,"""I searched for the word target so that may get to somewhere"""
[00:55:45]:,"Picking a document in title ""May 2011 Investing on environmental package to clean toxic waste dumps Codi Unveils Initiative To Clean Up Environment"""
[00:56:00]:,"Picking a document in title ""May 2011 Takeover News Grabs Attention """
[00:56:31]:,"Picking a document in title ""April 2011 ValuJet Conducts Test Flight To Prepare for FAA Inspection"""
[00:56:28]:,User changed the topic: (Looking for Threats and attacks related to airlines) [bottom-up]
[00:56:56]:,Still reading the document
[00:57:09]:,"""They found another plane crash caused by the maintenance"""
[00:57:19]:,Still reading the document
[00:57:55]:,"Searching for ""ValuJet"""
[00:57:58]:,"Picking a document in title ""May 2011 Union Cites Report in Amendment To ValuJet Safety Record Charge"""
[00:58:20]:,Still reading the document
[00:58:53]:,"Writing a new note: ""Plane crash due to maintenance """
[00:59:15]:,Making connection between the note and document
[00:59:18]:,Making connection between the ntoe and document
[00:59:42]:,"Searching for ""threat"""
[00:59:48]:,"Picking a document in title ""May 2011 Lloyd's of London Will Let Its Investors Sue for"""
[01:00:05]:,"Searching for ""Airport"""
[01:00:14]:,"Picking a document in title ""May 2011 Suspicious Turkey Found with Man at Airport"""
[01:00:30]:,"Picking a document in title ""March 2011 The Big Hustle"""
[01:00:59]:,"Picking a document in title ""May 2011 FDA Warns Three Airlines About Food Contamination"""
[01:01:18]:,"Searching for ""Airline"""
[01:01:24]:,"Picking a document in title ""April 2011 Major Indexes Drop Further As Vastsoft Continues to Fall"""
[01:01:20]:,User changed the topic: (Looking for new information on terrotist activities) [bottom-up]
[01:01:28]:,"""I'm trying to figure out what to search for. I really don't see any connections with anything"""
[01:02:36]:,"Searching for ""explosives"""
[01:02:44]:,"Picking a document in title ""May 2011 U.S. Antiterrorism Effort Is Flawed as Threat Grows"""
[01:03:08]:,Picking a highlighted document
[01:03:36]:,"Searching for ""Psychobrotherhood"""
[01:04:03]:,"Searching for ""explosive devices"""
[01:04:11]:,"Searching for ""devices"""
[01:04:16]:,"Picking a document in title ""March 2011 J&J and Eli Lilly Report Higher Quarterly Earnings """
[01:04:21]:,"Searching for ""materials"""
[01:05:00]:,Looking through titles
[01:05:15]:,"""There're a lot of stuff about economy here. stocks"""
[01:06:01]:,"Picking a document in title ""May 2011 NationsBank-Boatmen's Deal May Spur Rivals to Follow Suit"""
[01:06:20]:,"Searching for ""U.S."""
[01:06:17]:,User changed the topic: (Looking for U.S. related threats) [bottom-up]
[01:06:19]:,"""I searched for US to see what articles talked about it. maybe there is something in there. I haven't seen any threads in the area"""
[01:06:55]:,"""I haven't seen any of these"""
[01:07:00]:,"Picking a document in title ""May 2011 Digial TV maket growth in Latin America Television Espanola in Talks For Grupo Televisa Alliance"""
[01:07:28]:,"""I don't see how it would be a thread to them. They just talk about changing the policy"""
[01:07:40]:,Looking through titles
[01:07:57]:,"Searching for ""Change"""
[01:08:03]:,Looking through titles
[01:09:00]:,"Searching for ""US"""
[01:09:16]:,Looking through titles
[01:10:12]:,Looking through titles
[01:10:53]:,User changed the topic: (Looking for airport safty policy changes) [bottom-up]
[01:10:55]:,"Searching for ""Airport"""
[01:11:00]:,Looking through titles
[01:11:17]:,"Searching for ""Airline"""
[01:11:25]:,"Searching for ""Airplane"""
[01:11:31]:,"Searching for ""Safty"""
[01:11:54]:,Looking through titles
[01:11:58]:,"""I'm looking for the airplane policy thing that I've seen earlier and I don't remmember it"""
[01:12:25]:,Looking through titles
[01:12:36]:,"Searching for ""Policy"""
[01:12:43]:,Looking through titles
[01:12:53]:,"Searching for ""Washington"""
[01:12:59]:,Looking through titles
[01:13:13]:,"Picking a document in title ""May 2011 U.S. Antiterrorism Effort Is Flawed as Threat Grows"""
[01:13:10]:,User changed the topic: (Looking for articles about antiterrorism effforts) [bottom-up]
[01:14:05]:,Still reading the document
[01:14:44]:,Still reading the document
[01:15:43]:,"""I'm readying this antiterorrisem effort. This could be a proof that they're looking for a threat"""
[01:17:08]:,Still reading the document
[01:17:58]:,"Writing a new note: ""Efforts to prevent threats-> wire tapping etc. Problem is how do peolpe pay for this? How much are people willing to pay to be safe from terrorists?"""
[01:18:04]:,"""Now I'm making a note about effort to find the threads"""
[01:18:45]:,Making connection between the note and document
[01:19:05]:,Looking through titles
[01:19:32]:,"Searching for ""Protect"""
[01:19:38]:,"Picking a document in title ""May 2011 Investing on environmental package to clean toxic waste dumps Codi Unveils Initiative To Clean Up Environment """
[01:19:59]:,"Picking a document in title ""May 2011 U.S. Antiterrorism Effort Is Flawed as Threat Grows"""
[01:20:14]:,"Searching for ""Antiterrorism"""
[01:20:23]:,"Searching for ""Threat"""
[01:20:31]:,Looking through titles
[01:20:57]:,"Picking a document in title ""May 2011 City Threat Level Increased City """
[01:21:25]:,"""Now that I searched for Threads. I see a press release that confirms an increase in city thread level"""
[01:21:57]:,"Searching for ""Mayor Douglas Lark"""
[01:22:24]:,"Searching for ""May"""
[01:23:01]:,"""I'm looking for an article prior to this talking about arising suspiciuos of threats on the area"""
[01:23:28]:,"Searching for ""Vastopolis"""
[01:23:24]:,User changed the topic: (Looking for terrorist activities in the area) [bottom-up]
[01:23:36]:,"Picking a document in title ""Investing on environmental package to clean toxic waste dumps Codi Unveils Initiative To Clean Up Environment"""
[01:23:56]:,Still reading the document
[01:24:05]:,"Picking a document in title ""April 2011 Keating Will Cheer His Grandson From Jail With Fellow Prisoners"""
[01:24:18]:,"Picking a document in title ""May 2011 Who Will Pay High Cost Of Relief From Pain?"""
[01:24:38]:,"Picking a document in title ""May 2011 City Threat Level Increased City"""
[01:25:05]:,"Searching for ""April"""
[01:25:12]:,Looking through titles
[01:25:58]:,Looking through titles
[01:26:36]:,Looking through titles
[01:27:02]:,Looking through titles
[01:27:28]:,Looking through titles
[01:27:54]:,"""I'm just clicking around to see if I can get somewhere. but I can't find anything"""
[01:28:16]:,Looking through titles
[01:29:11]:,Looking through titles
